State,Raised,Religion
Chile,493147,Other Religions
Chile,0,No religion
Chile,0,No religion
Cook Islands,15324,Total
Cook Islands,310,Apostolic
Cook Islands,558,Assembly of God
Cook Islands,565,Church of Jesus Chri
Cook Islands,325,Jehovah Witness
Cook Islands,2599,Roman Catholic
Cook Islands,1154,Seventh Day Adventis
Cook Islands,786,Other
Cook Islands,579,No Religion
Cook Islands,383,Unknown
Croatia,4437460,Total
Croatia,3001,Adventist
Croatia,132532,Agnostic
Croatia,1981,Baptist
Croatia,4053,Calvinist
Croatia,3897332,Catholic
Croatia,3339,Evangelical
Croatia,6219,Greek Catholic
Croatia,56777,Islam 
Croatia,6094,Jehovah Witness
Croatia,495,Jewish
Croatia,15,Methodist
Croatia,303,Old Catholic Church
Croatia,195969,Orthodox
Croatia,336,Pentecostal
Croatia,4764,Other Religions
Croatia,98376,Non-believers
Croatia,25874,Unknown
Cyprus,689565,Total
Cyprus,689565,Total
Cyprus,6839,Anglican
Cyprus,6839,Anglican
Cyprus,1741,Armenian church
Cyprus,1741,Armenian church
Cyprus,1500,Atheist
Cyprus,1500,Atheist
Cyprus,3930,Maronite church
Cyprus,3930,Maronite church
Cyprus,4182,Muslim
Cyprus,4182,Muslim
Cyprus,653635,Orthodox
Cyprus,653635,Orthodox
Cyprus,10240,Roman Catholic
Cyprus,10240,Roman Catholic
Cyprus,6505,Other
Cyprus,6505,Other
Cyprus,993,Not Stated
Cyprus,993,Not Stated
Czech Republic,10436560,Total
Czech Republic,10436560,Total
Czech Republic,1058,Atheist
Czech Republic,1058,Atheist
Czech Republic,10865,Brethren
Czech Republic,10865,Brethren
Czech Republic,9883,Catholic
Czech Republic,9883,Catholic
Czech Republic,9377,Christian
Czech Republic,9377,Christian
Czech Republic,39229,Czechoslovak Hussite
Czech Republic,39229,Czechoslovak Hussite
Czech Republic,51858,Evangelical
Czech Republic,51858,Evangelical
Czech Republic,1730,Old Catholic Church
Czech Republic,1730,Old Catholic Church
Czech Republic,20533,Orthodox
Czech Republic,20533,Orthodox
Czech Republic,1082463,Roman Catholic
Czech Republic,1082463,Roman Catholic
Czech Republic,7391,Seventh Day Adventis
Czech Republic,7391,Seventh Day Adventis
Czech Republic,209028,Other Religions
Czech Republic,209028,Other Religions
Czech Republic,3604095,No Religion
Czech Republic,3604095,No Religion
Czech Republic,705368,Not Specified
Czech Republic,705368,Not Specified
Czech Republic,13069,Jehovah's Witnesses
Czech Republic,13069,Jehovah's Witnesses
Czech Republic,8158,Silesian Evangelical
Czech Republic,8158,Silesian Evangelical
Dominica,68635,Total
Dominica,423,Anglican
Dominica,2798,Baptist
Dominica,819,Church of God
Dominica,139,Islam 
Dominica,805,Jehovah Witness
Dominica,2572,Methodist
Dominica,3863,Pentecostal
Dominica,879,Rastafarian
Dominica,42174,Roman Catholic
Dominica,4144,Seventh Day Adventis
Dominica,252,Other
Dominica,4882,Other Evangelical Ch
Dominica,4165,No Religion
Dominica,720,Not Specified
Estonia,1094564,Total
Estonia,1194,Adventist
Estonia,341,Apostolic
Estonia,4507,Baptist
Estonia,1145,Buddhist
Estonia,121,Hare Rama Hare Krish
Estonia,142,Hindu
Estonia,3938,Jehovah Witness
Estonia,355,Judaism
Estonia,108513,Lutheran
Estonia,1098,Methodist
Estonia,185,Mormon
Estonia,1508,Muslim
Estonia,272,New Age
Estonia,2605,Old Believers
Estonia,176773,Orthodox
Estonia,341,Pagan
Estonia,1855,Pentecostal
Estonia,4501,Roman Catholic
Estonia,120,Satanist
Estonia,100,Spiritualist
Estonia,144,Taoist
Estonia,1899,Other Christians
Estonia,1228,Other Religions
Estonia,157216,Refused to answer
Estonia,592588,No Religion
Estonia,1804,Not Specified
Estonia,99,Church of Charismati
Estonia,269,Church of Christian 
Estonia,291,Estonian Ancient Bel
Estonia,160,Russian Catholic Ort
Estonia,124,Ukrainian Greek-Cath
Estonia,79,Charismatic Episcopa
Estonia,2972,Taara or Earth Belie
Estonia,2189,Christian Free Congr
Estonia,23888,Unknown
Falkland Islands (Ma,2955,Total
Falkland Islands (Ma,12,Baha'i
Falkland Islands (Ma,5,Buddhist
Falkland Islands (Ma,1985,Christian
Falkland Islands (Ma,9,Hindu
Falkland Islands (Ma,1,Jewish
Falkland Islands (Ma,9,Muslim
Falkland Islands (Ma,11,Other
Falkland Islands (Ma,931,None
Fiji,837271,Total
Fiji,6313,Anglican
Fiji,47778,Assembly of God
Fiji,76433,Catholic
Fiji,233393,Hindu
